StudentId,Id,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
6210422033,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,6,6,6,6,6,4,5,6,6,6,7,6,6,6,6,6,6,6,3,4,2,8,8,8,8,8,8,
xxx,2,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,5,7,7,7,7,7,4,4,6,6,7,7,5,7,7,6,6,6,4,4,4,4,2,8,8,8,8,8,8,8,
xxx,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,6,6,4,6,6,4,6,6,6,6,6,6,6,6,6,6,4,4,2,6,6,6,6,2,8,8,8,8,8,
6210422032,32,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,6,6,6,6,6,6,6,8,4,4,8,8,8,8,8,8,8,8,8,8,8,4,2,2,2,8,8,8,8,
6210422034,34,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,6,7,7,7,7,4,4,6,6,6,6,6,6,6,6,6,6,6,4,2,2,8,8,8,8,8,8,1,1,
6210422035,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,4,3,8,8,2,9,9,9,1,
6210422036,36,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,5,6,9,9,7,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,9,9,9,9,4,4,8,8,8,2,1,1,
6210422037,37,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,2,4,8,6,6,6,6,6,6,4,4,5,6,7,7,7,7,7,7,7,7,4,4,2,2,9,9,9,9,9,2,1,1,
6210422038,38,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,6,6,6,7,7,4,4,4,4,6,6,7,7,7,7,6,6,10,10,10,4,8,8,2,9,9,9,9,9,
6210422040,40,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,4,4,4,6,6,6,6,6,6,4,4,6,6,5,6,6,6,6,6,6,6,6,3,4,4,9,9,9,9,9,2,1,1,
6210422043,43,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,7,7,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,2,9,9,9,9,
6210422044,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,7,6,6,6,6,6,4,5,6,6,6,6,7,7,7,6,6,6,6,3,10,10,4,9,9,9,2,9,9,8,
6210422047,47,8,8,1,1,1,1,1,1,1,1,1,1,1,2,8,8,2,2,8,8,8,8,8,1,4,8,8,8,8,8,8,8,9,9,9,9,4,4,6,6,6,6,6,8,9,9,9,8,
6210422048,48,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,2,9,9,9,9,9,9,2,4,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,2,2,
6210422049,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,6,6,7,7,7,4,4,6,6,6,6,6,6,6,6,6,6,6,4,8,8,8,8,8,2,9,9,9,9,
6210422058,58,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,6,6,6,6,6,4,8,8,6,6,6,6,6,6,6,6,6,3,10,10,10,10,2,9,9,9,9,1,1,1,
6210422065,65,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,7,7,5,6,6,6,6,4,8,6,6,7,6,6,6,6,3,3,3,3,3,3,3,4,3,3,2,9,9,8,8,
6220422001,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,4,8,8,2,
6220422002,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,6,5,6,7,7,7,7,4,1,6,6,5,6,6,6,6,6,2,2,2,2,2,2,4,4,2,2,9,9,8,2,
6220422004,4,8,8,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,7,7,6,6,6,6,4,4,6,6,6,6,6,6,6,8,8,4,6,6,6,6,2,2,9,9,9,9,
6220422005,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,6,6,6,4,6,6,6,4,4,6,6,5,6,6,6,6,6,3,3,2,2,4,4,8,8,8,8,8,8,1,1,
6220422008,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,6,6,7,7,7,7,4,4,4,6,6,6,6,6,4,6,6,6,8,8,4,4,4,3,2,9,9,9,9,
6220422009,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,2,3,3,8,8,3,3,2,3,3,4,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,1,1,
6220422010,10,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,4,4,8,3,1,1,9,9,9,9,9,9,
6220422013,13,1,1,1,1,1,1,1,1,1,1,2,4,3,3,2,2,2,6,6,6,6,6,6,6,4,4,6,6,7,7,6,6,6,6,6,6,6,6,3,3,4,2,8,1,1,1,1,1,
6220422015,15,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,2,8,8,8,9,9,
6220422017,17,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,3,6,6,6,5,6,6,4,6,6,6,6,5,6,6,6,6,6,6,3,3,4,8,8,8,8,8,9,9,9,9,
6220422020,20,9,9,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,6,7,7,6,6,4,4,6,6,6,6,4,4,6,6,3,2,2,2,4,4,10,10,2,2,8,8,9,9,
6220422024,24,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,2,6,6,6,6,6,6,6,4,8,6,6,6,6,6,6,6,6,6,6,3,3,3,3,4,8,8,8,8,8,8,1,1,
6220422025,25,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,3,6,7,7,7,7,4,4,6,6,6,6,6,5,6,6,7,7,6,6,10,10,10,3,3,4,2,8,8,9,
6220422026,26,1,1,1,1,1,1,1,1,1,1,2,8,6,6,10,10,4,5,7,6,6,6,6,6,4,4,6,6,7,7,6,6,6,6,6,6,8,8,4,8,8,2,9,6,1,1,1,1,
6220422027,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,3,4,4,2,10,10,10,2,8,8,9,9,9,9,1,
6220422029,29,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,2,4,6,6,4,6,6,6,4,4,6,6,6,6,6,6,6,6,4,8,8,8,6,6,8,8,8,8,2,9,9,9,
6220422030,30,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,7,7,3,4,4,4,3,3,3,2,8,8,8,8,
6220422031,31,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,2,4,10,10,10,10,4,4,8,8,8,8,8,8,8,8,8,8,4,8,8,8,9,9,9,9,8,8,8,8,
6220422056,56,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,6,7,7,7,7,4,4,6,6,6,6,6,6,6,6,6,6,3,4,4,4,4,3,8,8,2,2,9,9,
6220422067,67,8,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,6,6,6,6,6,6,6,4,4,6,7,7,7,4,6,6,6,6,3,3,4,4,8,8,8,8,2,8,8,8,8,
6220422068,68,8,8,1,1,1,1,1,1,1,1,1,1,1,8,8,2,3,2,9,9,9,9,9,9,4,4,9,9,9,9,9,9,8,8,8,4,4,9,9,9,9,9,9,9,3,8,8,8,
6220422103,103,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,6,7,6,6,6,6,6,4,5,6,4,6,6,6,6,6,3,8,8,8,8,4,9,2,9,9,4,4,8,8,1,1,
6220422106,106,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,6,6,6,8,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,3,3,2,4,4,8,2,2,2,9,9,
6220422109,109,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,4,2,2,2,5,5,5,8,4,4,8,8,8,8,8,8,8,3,3,3,2,2,4,4,10,10,2,2,8,8,8,8,8,
6310422091,91,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,9,9,9,9,9,9,9,4,4,5,5,5,5,5,5,5,8,8,4,4,8,8,3,3,8,8,8,8,1,1,
6310422092,92,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,7,5,6,6,6,6,6,6,4,1,5,7,6,6,6,6,6,7,2,2,8,2,2,2,8,8,8,8,9,9,9,9,
6310422093,93,8,8,1,1,1,1,1,1,1,1,1,1,1,2,10,10,2,3,3,4,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,4,3,10,10,10,3,3,2,8,8,8,8,
6310422096,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,6,6,6,6,6,6,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,2,9,9,8,8,8,8,